Source file, # digit not in Benford distribution 95%, # digit not in Benford distribution 99%
WID_data_BI.csv,5,5
WID_data_US-NE.csv,8,7
WID_data_IM.csv,5,5
WID_data_MP.csv,4,1
WID_data_QS.csv,5,4
WID_data_US-GA.csv,6,5
WID_data_BA.csv,8,8
WID_data_PY.csv,3,1
WID_data_XM.csv,7,7
WID_data_QO.csv,8,7
WID_data_TJ.csv,6,5
WID_data_DE-BY.csv,3,1
WID_data_US-NM.csv,7,5
WID_data_WO.csv,9,9
WID_data_TT.csv,9,8
WID_data_US-MO.csv,8,6
WID_data_SL.csv,7,7
WID_data_YU.csv,9,9
WID_data_HK.csv,6,5
WID_data_WO-MER.csv,8,8
WID_data_CR.csv,1,0
WID_data_SA.csv,7,6
WID_data_US-IL.csv,5,5
WID_data_US-CA.csv,4,4
WID_data_PG.csv,5,3
WID_data_GU.csv,7,6
WID_data_BB.csv,4,4
WID_data_UG.csv,6,5
WID_data_ZA.csv,7,6
WID_data_AU.csv,7,5
WID_data_MA.csv,9,8
WID_data_IT.csv,9,9
WID_data_US-VA.csv,6,6
WID_data_MW.csv,6,5
WID_data_QD.csv,7,5
WID_data_US-IA.csv,7,6
WID_data_US-MD.csv,4,4
WID_data_DZ.csv,7,7
WID_data_BT.csv,5,4
WID_data_BM.csv,6,4
WID_data_LK.csv,7,7
WID_data_SS.csv,6,4
WID_data_MS.csv,3,2
WID_data_KM.csv,7,5
WID_data_UY.csv,6,6
WID_data_US-KY.csv,8,8
WID_data_ME.csv,8,8
WID_data_QV.csv,9,7
WID_data_LY.csv,7,7
WID_data_QH.csv,4,3
WID_data_SE.csv,9,8
WID_data_CG.csv,7,6
WID_data_QF-MER.csv,8,8
WID_data_XN-MER.csv,7,7
WID_data_US-WI.csv,7,6
WID_data_VE.csv,3,1
WID_data_ML.csv,4,3
WID_data_DE-HB.csv,8,6
WID_data_CY.csv,9,9
WID_data_CD.csv,5,5
WID_data_US-NH.csv,5,4
WID_data_VU.csv,3,3
WID_data_OM.csv,5,5
WID_data_WS.csv,5,3
WID_data_US-HI.csv,6,6
WID_data_SG.csv,5,5
WID_data_NZ.csv,6,5
WID_data_VC.csv,3,2
WID_data_QI.csv,5,3
WID_data_QP-MER.csv,8,7
WID_data_DD.csv,9,9
WID_data_ZZ.csv,7,6
WID_data_LS.csv,5,5
WID_data_US-LA.csv,7,6
WID_data_DE-HH.csv,9,8
WID_data_DM.csv,5,5
WID_data_MX.csv,3,3
WID_data_US-IN.csv,6,6
WID_data_BH.csv,8,8
WID_data_FK.csv,5,1
WID_data_QE-MER.csv,9,9
WID_data_QR.csv,3,3
WID_data_TL.csv,4,1
WID_data_IL.csv,3,3
WID_data_CV.csv,8,8
WID_data_MO.csv,6,6
WID_data_GY.csv,8,6
WID_data_SY.csv,6,6
WID_data_KS.csv,9,9
WID_data_US-ND.csv,6,5
WID_data_CM.csv,8,7
WID_data_AF.csv,5,3
WID_data_US-OH.csv,6,4
WID_data_TC.csv,0,0
WID_data_BZ.csv,3,2
WID_data_XF.csv,6,5
WID_data_AO.csv,7,7
WID_data_ER.csv,6,5
WID_data_US-AZ.csv,6,5
WID_data_GB.csv,8,8
WID_data_US-NC.csv,5,5
WID_data_QE.csv,9,9
WID_data_SK.csv,9,9
WID_data_MK.csv,9,9
WID_data_QN.csv,8,8
WID_data_KE.csv,6,6
WID_data_US-KS.csv,7,7
WID_data_NU.csv,2,1
WID_data_FO.csv,4,2
WID_data_HU.csv,8,8
WID_data_PR.csv,6,5
WID_data_SB.csv,1,0
WID_data_CZ.csv,9,9
WID_data_US-ID.csv,6,5
WID_data_XA.csv,7,6
WID_data_LA.csv,3,3
WID_data_US-AL.csv,8,7
WID_data_NG.csv,8,7
WID_data_DE-PR.csv,7,6
WID_data_UZ.csv,6,5
WID_data_AT.csv,8,8
WID_data_ST.csv,9,8
WID_data_PM.csv,5,5
WID_data_MT.csv,9,8
WID_data_QW.csv,7,6
WID_data_KN.csv,3,3
WID_data_GT.csv,2,2
WID_data_EE.csv,9,9
WID_data_US-WA.csv,5,3
WID_data_CH.csv,9,9
WID_data_IQ.csv,8,8
WID_data_US-DE.csv,4,4
WID_data_TG.csv,9,6
WID_data_KW.csv,8,6
