digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,49.0,0.2237442922374429,0.30103,2.419715099676103,4.345429547668685
2,60.0,0.273972602739726,0.176091,3.714196887177418,11.915412973533918
3,39.0,0.1780821917808219,0.124939,2.2763077502383493,4.950412155940539
4,8.0,0.0365296803652968,0.09691,2.9062137636535548,8.23884508123387
5,8.0,0.0365296803652968,0.0791812,2.2124100506342486,5.031425588974837
6,7.0,0.0319634703196347,0.0669468,1.9362198982092242,4.003469991993686
7,14.0,0.0639269406392694,0.0579919,0.23122467742102676,0.13302221376367543
8,18.0,0.0821917808219178,0.0511525,1.9316193466655796,4.124777731553112
9,16.0,0.0730593607305936,0.0457575,1.7718511799708896,3.567519210145827
