digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,2604.0,0.2911449016100179,0.30103,2.0265143742849148,2.9032471251589222
2,1557.0,0.17408318425760286,0.176091,0.48463860107899714,0.20475868926666332
3,1017.0,0.11370751341681574,0.124939,3.1964499876934336,9.030426252215968
4,919.0,0.10275044722719141,0.09691,1.8492055908500251,3.1481499142390836
5,836.0,0.09347048300536673,0.0791812,4.985122090705871,23.063785307294477
6,684.0,0.07647584973166369,0.0669468,3.584610944324975,12.131127147593626
7,522.0,0.05836314847942755,0.0579919,0.12759714819832207,0.02125660095669753
8,407.0,0.04550536672629696,0.0511525,2.4001677851717913,5.575977352091529
9,398.0,0.044499105545617174,0.0457575,0.5442359524789729,0.30953024653084443
