digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,2625.0,0.3003432494279176,0.30103,0.12830586204166153,0.013693034859493575
2,1426.0,0.1631578947368421,0.176091,3.1602759616168594,8.301945872741024
3,1246.0,0.1425629290617849,0.124939,4.9668179122248635,21.727956302867653
4,812.0,0.09290617848970252,0.09691,1.247183839883456,1.4457468541785528
5,722.0,0.08260869565217391,0.0791812,1.166875513752994,1.2967109507707055
6,640.0,0.07322654462242563,0.0669468,2.327582301337232,5.148320497021548
7,527.0,0.0602974828375286,0.0579919,0.8993182343010155,0.8011347241420692
8,397.0,0.045423340961098395,0.0511525,2.40689159608371,5.608236570667403
9,345.0,0.039473684210526314,0.0457575,2.785779181523111,7.542165093297904
