digit,count,empirical,benford,zscore
0,0.0,0.0,0.0,NaN,
1,42.0,0.34146341463414637,0.30103,0.8793105476645534,
2,11.0,0.08943089430894309,0.176091,2.404907916010403,
3,6.0,0.04878048780487805,0.124939,2.4181337438888932,
4,9.0,0.07317073170731707,0.09691,0.737565228644799,
5,22.0,0.17886178861788618,0.0791812,3.9271993356534973,
6,5.0,0.04065040650406504,0.0669468,0.9865073664401814,
7,8.0,0.06504065040650407,0.0579919,0.1415787724736422,
8,8.0,0.06504065040650407,0.0511525,0.4945041167153458,
